date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:44	7810/7810	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221e82-65157b40-38504c;br%22	https://traffic.rta.ac/assets_new/main-old-pages.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/main-old-pages.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:45	10054/10054	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%222746-65157b40-385022;br%22	https://traffic.rta.ac/assets_new/ReadSpeaker.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/ReadSpeaker.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:45	20206/20206	---MCZ	200	added ('OK')	text/css	etag:W/%224eee-65157b40-385048;br%22	https://traffic.rta.ac/assets_new/ReadSpeaker.Styles.css	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/ReadSpeaker.Styles.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:45	25318/25318	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2262e6-65157b40-38501e;br%22	https://traffic.rta.ac/assets_new/ReadSpeaker.Core.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/ReadSpeaker.Core.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:46	153619/153619	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2225813-65157b40-38500a;br%22	https://traffic.rta.ac/assets_new/ReadSpeaker.pub.Config.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/ReadSpeaker.pub.Config.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:46	3219/3219	---MCZ	200	added ('OK')	text/css	etag:W/%22c93-65157b41-38503a;br%22	https://traffic.rta.ac/assets_new/print.css	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/print.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:46	23464/23464	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ba8-6517e372-385002;br%22	https://traffic.rta.ac/assets_new/jquery.colorbox.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/jquery.colorbox.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:47	1552/1552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Mar%202024%2010:46:46%20GMT	https://traffic.rta.ac/trfesrv/public_resources/revamp/assets_new_en/css/blind.css	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/trfesrv/public_resources/revamp/assets_new_en/css/blind.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:47	3411/3411	---MCZ	200	added ('OK')	text/css	etag:W/%22d53-65157b41-38501c;br%22	https://traffic.rta.ac/assets_new/jquery-ui.css	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/jquery-ui.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:47	5190/5190	---MCZ	200	added ('OK')	text/css	etag:W/%221446-65157b41-385028;br%22	https://traffic.rta.ac/assets_new/head_foot.css	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/head_foot.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:47	26370/26370	---MCZ	200	added ('OK')	text/css	etag:W/%226702-6515881d-384ff4;br%22	https://traffic.rta.ac/assets_new/rta.css	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/rta.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:48	5150/5150	---MCZ	200	added ('OK')	text/css	etag:W/%22141e-65171aec-384ff8;br%22	https://traffic.rta.ac/assets_new/colorbox.css	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/colorbox.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:48	3859/3859	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22f13-65157b42-38500e;br%22	https://traffic.rta.ac/assets_new/index.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/index.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
